Evaluator,N,Accuracy (%),Macro F1,Macro F1 95% CI Lower,Macro F1 95% CI Upper,95% CI Lower,95% CI Upper,Acc Exceptional (%),Acc Strong (%),Acc Fair (%),Acc Limited (%)
Best Flagship (Gemini 3.1 Pro),120,38.8,0.374,0.285,0.461,31.2,46.5,37.9,44.8,60.7,13.8
Flagship Average (11 models),120,31.1,0.234,0.212,0.252,26.3,36.0,N/A,N/A,N/A,N/A
GPT-5.2 (pre-SFT baseline),120,32.5,0.217,0.175,0.256,24.2,40.8,0.0,70.0,60.0,0.0
Best SFT Single (ckpt-step-304),120,57.5,0.573,0.486,0.658,48.3,65.8,70.0,43.3,63.3,53.3
SFT 2-Model Ensemble,120,60.8,0.607,0.517,0.691,51.7,69.2,80.0,60.0,56.7,46.7
Expert Individual Average,48,36.2,0.353,0.305,0.4,30.7,42.2,N/A,N/A,N/A,N/A
Expert Majority Vote (excl. ties),89,41.6,0.404,0.296,0.505,31.5,51.7,22.7,59.1,52.0,30.0
Student Individual Average,174,31.7,0.318,0.294,0.341,29.7,33.8,N/A,N/A,N/A,N/A
Student Matched-N Vote (excl. ties),89,33.7,0.335,0.235,0.432,26.8,45.7,27.3,29.2,55.0,26.1
"Student Majority Vote (full, excl. ties)",103,40.8,0.405,0.306,0.498,31.1,50.5,33.3,38.5,65.4,25.9
